ad_channel,ad_account_id,ad_plan_id,api,apk,user_id,signup,good,ever_good
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541561252,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541602685,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541576521,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,oppo,541605523,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541530962,1,1,1
Douyin,1730062108658695,1742736696446043,douyin-aidekangsai-07,vivo,541469628,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541608110,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,vivo,541558063,1,0,0
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541520540,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541589368,1,1,1
Douyin,1730062108658695,1730684242833502,douyin-aidekangsai-07,huawei,541471502,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,qq,541475055,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541594637,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541503784,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541569000,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541592494,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541547133,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,huawei,541511648,1,0,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,536530972,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541547481,1,1,1
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541561798,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,xiaomi,541517516,1,0,0
Douyin,1730062108658695,1740586817162291,douyin-aidekangsai-07,vivo,541533799,1,0,1
